,Bitcoin Searches,Dogecoin Searches,Ethereum Searches,Litecoin Searches,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,Time
2014-10-01,1.0204081632653064,0.0,0.0,0.0,0.27913256699133915,,,1.1227705491498494,0.0
2014-11-01,1.0204081632653064,0.0,0.0,0.0,0.19930581005010517,,,0.8579204812200678,1.0416666666666667
2014-12-01,1.0204081632653064,0.0,0.0,0.0,0.26411215623865025,,,0.7907828429552941,2.0833333333333335
2015-01-01,1.0204081632653064,0.0,0.0,0.0,0.1694957798067207,,,0.4751060018043223,3.125
2015-02-01,1.0204081632653064,0.0,0.0,0.0,0.0,,,0.16163526329655586,4.166666666666667
2015-03-01,1.0204081632653064,0.0,0.0,0.0,0.06123372642041364,,,0.14939201464702578,5.208333333333334
2015-04-01,0.0,0.0,0.0,0.0,0.044769883886104256,,,0.07718950311424311,6.25
2015-05-01,0.0,0.0,0.0,0.0,0.03121255788227123,,,0.0,7.291666666666667
2015-06-01,0.0,0.0,0.0,0.0,0.02187432688899371,,,0.07256588573545919,8.333333333333334
2015-07-01,1.0204081632653064,0.0,0.0,0.0,0.076064275025847,,,0.980034015246507,9.375
2015-08-01,1.0204081632653064,0.0,0.0,0.0,0.11099021986342311,,,1.1851064852940092,10.416666666666668
2015-09-01,0.0,0.0,0.0,0.0,0.02191195969918891,,,0.5207901084724151,11.458333333333334
2015-10-01,1.0204081632653064,0.0,0.0,0.0,0.031318938619783854,,,0.5825180193724417,12.5
2015-11-01,1.0204081632653064,0.0,0.0,0.0,0.16060924242380192,,,0.8795852923069316,13.541666666666668
2015-12-01,1.0204081632653064,0.0,0.0,0.0,0.26274563822969144,,,0.8095037086103285,14.583333333333334
2016-01-01,1.0204081632653064,0.0,0.0,0.0,0.3499860338073728,,,0.7551618281221324,15.625000000000002
2016-02-01,1.0204081632653064,0.0,0.0,0.0,0.24954838355313402,,,0.6045907147972571,16.666666666666668
2016-03-01,1.0204081632653064,0.0,0.0,0.0,0.3617627310580753,,,0.743604486403284,17.708333333333336
2016-04-01,1.0204081632653064,0.0,0.0,0.0,0.32713794859007717,,,0.6684839310665478,18.75
2016-05-01,2.0408163265306123,0.0,0.0,0.0,0.37905634334498306,,,0.8211536950596001,19.791666666666668
2016-06-01,3.061224489795918,0.0,4.3478260869565215,0.0,0.5142742517648147,,,1.1903752123295337,20.833333333333336
2016-07-01,1.0204081632653064,0.0,0.0,0.0,0.745697705014188,,,1.0198894600293602,21.875
2016-08-01,1.0204081632653064,0.0,0.0,0.0,0.6672849128897236,,,0.9714726874196211,22.916666666666668
2016-09-01,1.0204081632653064,0.0,0.0,0.0,0.5870016177693334,,,0.8723698767135333,23.958333333333336
2016-10-01,1.0204081632653064,0.0,0.0,0.0,0.6432716339606115,,,0.8916987676127008,25.0
2016-11-01,2.0408163265306123,0.0,0.0,0.0,0.7928667242512424,,,0.9476276311166978,26.041666666666668
2016-12-01,3.061224489795918,0.0,0.0,0.0,0.8660359948405083,,,0.9145723802680841,27.083333333333336
2017-01-01,4.0816326530612255,0.0,0.0,0.0,1.2221722337083396,,,1.0701787523717585,28.125000000000004
2017-02-01,4.0816326530612255,0.0,0.0,0.0,1.2340912713824745,,,0.9763409558398615,29.166666666666668
2017-03-01,5.1020408163265305,0.0,4.3478260869565215,0.0,1.5762955292687963,,,0.8640013524716217,30.208333333333336
2017-04-01,4.0816326530612255,0.0,4.3478260869565215,0.0,1.399006286643101,,,1.9318923192508324,31.250000000000004
2017-05-01,13.26530612244898,0.0,13.043478260869565,10.0,1.8516640161364855,,,5.289306586083608,32.29166666666667
2017-06-01,13.26530612244898,0.0,30.43478260869565,10.0,3.3900845067702203,,,8.862093684318335,33.333333333333336
2017-07-01,11.224489795918368,0.0,17.391304347826086,10.0,3.724385724683529,,,14.446152972101405,34.375
2017-08-01,19.387755102040817,0.0,17.391304347826086,10.0,4.344152909270792,,,15.415823639952979,35.41666666666667
2017-09-01,20.408163265306122,0.0,13.043478260869565,10.0,7.33981969419921,,,25.737225956384624,36.458333333333336
2017-10-01,21.428571428571427,0.0,13.043478260869565,10.0,6.749494302682711,,,19.90855982787511,37.5
2017-11-01,43.87755102040817,0.0,21.73913043478261,20.0,10.186151097679751,,,20.13269784087146,38.54166666666667
2017-12-01,100.0,2.9411764705882355,39.130434782608695,100.0,16.335756830039653,0.0711845714870537,7.484975913049661,32.095183452401145,39.583333333333336
2018-01-01,56.12244897959184,5.882352941176471,34.78260869565217,30.0,22.74061959603646,2.1501307107773022,14.360782478469352,85.3627379663164,40.625
2018-02-01,39.79591836734694,2.9411764705882355,17.391304347826086,30.0,16.399092225298048,1.2536224752492973,22.411494299989076,60.15545617802257,41.66666666666667
2018-03-01,21.428571428571427,0.0,8.695652173913043,10.0,16.640813234050626,1.2598771629038734,16.580516663125703,74.77800820870766,42.708333333333336
2018-04-01,17.346938775510203,0.0,8.695652173913043,10.0,11.106047809754912,0.29963039115589074,6.423209561489143,42.81135557334178,43.75
2018-05-01,12.244897959183675,0.0,8.695652173913043,10.0,14.785716965781116,1.0305378758675667,12.472297989764819,54.46838797260738,44.79166666666667
2018-06-01,11.224489795918368,0.0,8.695652173913043,10.0,11.920468370194389,0.4810169572620331,10.439963988431897,43.22774483898848,45.833333333333336
2018-07-01,11.224489795918368,0.0,4.3478260869565215,0.0,10.13821603724459,0.20729895745953708,7.70711514487969,29.68528043616255,46.875
2018-08-01,11.224489795918368,0.0,8.695652173913043,10.0,12.359624036729038,0.35919902002773774,7.233897722036373,29.272526238564517,47.91666666666667
