,"('Open', 'BNB-USD')","('Open', 'BTC-USD')","('Open', 'DOGE-USD')","('Open', 'ETH-USD')","('Open', 'LTC-USD')","('Volume', 'BNB-USD')","('Volume', 'BTC-USD')","('Volume', 'DOGE-USD')","('Volume', 'ETH-USD')","('Volume', 'LTC-USD')",Height,Trans Volume,Stripped Size,Size,Weight,Avg. Transaction Fee,Block Reward,Block Reward Tips,Time
count,1167.0,2316.0,1167.0,1167.0,2316.0,1167.0,2316.0,1167.0,1167.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0
mean,17.241786098521086,5160.296935666204,0.003329263928433323,345.26775765439436,46.75190980884283,214522436.3479006,9761204084.441278,75542519.92544988,8020700290.929734,1234804824.6416235,494546.65284974093,1933.052677029361,811538.487478411,966374.872193437,3400990.33462867,0.00020639536269430054,15.392918825561313,0.7675202054663213,1157.5
std,8.615650380209361,5500.626078180644,0.0018019719590999152,249.28686670056587,53.38160474951841,176224383.15875444,14281758274.77913,157037690.3046664,7131911448.322549,1974699929.5230584,100303.70081031776,824.9607469092057,239110.34777198764,333713.2580435897,1009524.3119219159,0.00026704157589826146,6.368751123417021,1.0759664947980314,668.7159337117668
min,1.5113600492477417,176.89700317382812,0.0010460000485181808,84.27969360351562,1.1532399654388428,9284.0,5914570.0,1431720.0,621732992.0,481714.0,321059.0,1.0,183.0,183.0,732.0,0.0,6.25,0.0,0.0
25%,10.452549934387207,448.1220016479492,0.002377999946475029,174.17361450195312,3.813064932823181,60761250.0,63917500.0,16730916.5,2328742311.0,2854937.5,407733.5,1325.5,749158.5,764083.5,2996767.0,6.66625e-05,12.5,0.18261077,578.75
50%,15.749930381774902,3913.1365966796875,0.002710999920964241,237.54461669921875,42.02012252807617,187247411.0,3290479984.0,41001826.0,6546914198.0,278988000.0,494775.5,2020.5,908196.0,999173.0,3992752.0,0.0001079,12.5,0.36012091,1157.5
75%,22.351242065429688,8567.565185546875,0.003464000066742301,447.81700134277344,61.95508098602295,320754337.5,15894449238.25,88617808.5,11285943303.5,2207589772.5,581386.25,2562.25,981945.5,1212864.0,3993263.25,0.000231615,25.0,0.90214273,1736.25
max,45.76753234863281,40788.640625,0.017115000635385513,1397.47998046875,359.125,1144638251.0,123320567399.0,3421562680.0,60733630300.0,17994263494.0,666528.0,4608.0,1000000.0,1905941.0,4000000.0,0.00281522,25.0,11.24111777,2315.0
