,Bitcoin Searches,Ethereum Searches,Dogecoin Searches,Binance Coin Searches,Litecoin Searches,Height,Transaction Volume,Stripped Size,Size,Weight,Avg. Transaction Fee,Block Reward,Block Reward Tips
count,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0
mean,7.6689655172413795,0.7655172413793103,0.1310344827586207,0.006896551724137931,0.30344827586206896,334741.3103448276,941.7172413793104,392958.075862069,458776.9310344828,1637651.1586206898,0.00018318248275862062,27.801724137931036,0.3023250512413793
std,12.740494916916264,1.6915385546869255,0.7928077076458592,0.08304547985373997,0.9812416873748,199150.025571159,1071.290114660877,406351.20632971206,491985.6277624104,1702210.1694924766,0.0002816380489740409,16.2368241602926,0.5506292823112304
min,0.0,0.0,0.0,0.0,0.0,2543.0,1.0,208.0,208.0,832.0,0.0,6.25,0.0
25%,0.0,0.0,0.0,0.0,0.0,164780.0,12.0,5922.0,5922.0,23688.0,2.716e-05,12.5,0.0059925
50%,3.0,0.0,0.0,0.0,0.0,341391.0,434.0,199099.0,211247.0,816206.0,8.343e-05,25.0,0.09213467
75%,12.0,1.0,0.0,0.0,0.0,507015.0,1876.0,901854.0,999085.0,3992488.0,0.00020292,50.0,0.35651923
max,100.0,11.0,9.0,1.0,10.0,666598.0,3598.0,999972.0,1382088.0,3999888.0,0.00224417,50.0,4.34185873
