,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,,457.3340148925781,,,5.058549880981445,,457.3340148925781,,,5.058549880981445,,468.17401123046875,,,5.170770168304443,,452.4219970703125,,,4.965950012207031,,465.864013671875,,,5.08588981628418,,21056800,,,3071840
2014-09-18,,424.44000244140625,,,4.685229778289795,,424.44000244140625,,,4.685229778289795,,456.8599853515625,,,5.065430164337158,,413.10400390625,,,4.579959869384766,,456.8599853515625,,,5.065430164337158,,34483200,,,4569260
2014-09-19,,394.7959899902344,,,4.327770233154297,,394.7959899902344,,,4.327770233154297,,427.8349914550781,,,4.755819797515869,,384.5320129394531,,,4.254350185394287,,424.1029968261719,,,4.687290191650391,,37919700,,,3917450
2014-09-20,,408.90399169921875,,,4.286439895629883,,408.90399169921875,,,4.286439895629883,,423.2959899902344,,,4.616079807281494,,389.88299560546875,,,4.202189922332764,,394.6730041503906,,,4.32919979095459,,36863600,,,5490660
2014-09-21,,398.8210144042969,,,4.245920181274414,,398.8210144042969,,,4.245920181274414,,412.4259948730469,,,4.3001298904418945,,393.1809997558594,,,4.154990196228027,,408.0849914550781,,,4.263070106506348,,26580100,,,2931220
2014-09-22,,402.1520080566406,,,4.242350101470947,,402.1520080566406,,,4.242350101470947,,406.9159851074219,,,4.416880130767822,,397.1300048828125,,,4.210130214691162,,399.1000061035156,,,4.245930194854736,,24127600,,,1855960
2014-09-23,,435.7909851074219,,,4.746570110321045,,435.7909851074219,,,4.746570110321045,,441.5570068359375,,,4.881350040435791,,396.1969909667969,,,4.188869953155518,,402.0920104980469,,,4.239990234375,,45099500,,,4661670
2014-09-24,,423.2049865722656,,,4.666790008544922,,423.2049865722656,,,4.666790008544922,,436.11199951171875,,,4.745120048522949,,421.1319885253906,,,4.627689838409424,,435.7510070800781,,,4.744200229644775,,30627700,,,2662290
2014-09-25,,411.5740051269531,,,4.514649868011475,,411.5740051269531,,,4.514649868011475,,423.5199890136719,,,4.671319961547852,,409.4679870605469,,,4.448699951171875,,423.156005859375,,,4.66588020324707,,26814400,,,2046960
2014-09-26,,404.42498779296875,,,4.433589935302734,,404.42498779296875,,,4.433589935302734,,414.93798828125,,,4.551819801330566,,400.0090026855469,,,4.388800144195557,,411.4289855957031,,,4.50993013381958,,21460800,,,1548350
2014-09-27,,399.5199890136719,,,4.421800136566162,,399.5199890136719,,,4.421800136566162,,406.62298583984375,,,4.4892401695251465,,397.37200927734375,,,4.3979902267456055,,403.5559997558594,,,4.434390068054199,,15029300,,,889525
2014-09-28,,377.1809997558594,,,4.233230113983154,,377.1809997558594,,,4.233230113983154,,401.0169982910156,,,4.457610130310059,,374.3320007324219,,,4.202779769897461,,399.47100830078125,,,4.424620151519775,,23613300,,,1741170
2014-09-29,,375.4670104980469,,,4.246789932250977,,375.4670104980469,,,4.246789932250977,,385.21099853515625,,,4.330249786376953,,372.239990234375,,,4.1981000900268555,,376.9280090332031,,,4.2376298904418945,,32497700,,,1712650
2014-09-30,,386.9440002441406,,,4.474730014801025,,386.9440002441406,,,4.474730014801025,,390.97698974609375,,,4.549009799957275,,373.4429931640625,,,4.225930213928223,,376.0880126953125,,,4.252190113067627,,34707300,,,2456420
2014-10-01,,383.614990234375,,,4.42855978012085,,383.614990234375,,,4.42855978012085,,391.3789978027344,,,4.503739833831787,,380.7799987792969,,,4.384860038757324,,387.427001953125,,,4.4709601402282715,,26229400,,,1172180
2014-10-02,,375.0719909667969,,,4.322659969329834,,375.0719909667969,,,4.322659969329834,,385.49700927734375,,,4.463479995727539,,372.9460144042969,,,4.286230087280273,,383.9880065917969,,,4.430150032043457,,21777700,,,1124950
2014-10-03,,359.5119934082031,,,4.175119876861572,,359.5119934082031,,,4.175119876861572,,377.69500732421875,,,4.340310096740723,,357.8590087890625,,,4.1640400886535645,,375.1809997558594,,,4.31935977935791,,30901200,,,1471270
2014-10-04,,328.8659973144531,,,3.938199996948242,,328.8659973144531,,,3.938199996948242,,364.48699951171875,,,4.2840399742126465,,325.885986328125,,,3.888010025024414,,359.8919982910156,,,4.173130035400391,,47236500,,,6948810
2014-10-05,,320.510009765625,,,3.6991400718688965,,320.510009765625,,,3.6991400718688965,,341.8009948730469,,,4.04341983795166,,289.2959899902344,,,3.480600118637085,,328.9159851074219,,,3.9420700073242188,,83308096,,,8143680
2014-10-06,,330.0790100097656,,,3.8223700523376465,,330.0790100097656,,,3.8223700523376465,,345.1340026855469,,,3.9148600101470947,,302.55999755859375,,,3.5722498893737793,,320.3890075683594,,,3.703049898147583,,79011800,,,9482680
2014-10-07,,336.18701171875,,,3.8586299419403076,,336.18701171875,,,3.8586299419403076,,339.24700927734375,,,3.949860095977783,,320.48199462890625,,,3.6882100105285645,,330.5840148925781,,,3.8133299350738525,,49199900,,,7096400
2014-10-08,,352.94000244140625,,,3.9078900814056396,,352.94000244140625,,,3.9078900814056396,,354.364013671875,,,3.9298899173736572,,327.18798828125,,,3.7478299140930176,,336.1159973144531,,,3.8554699420928955,,54736300,,,5850860
2014-10-09,,365.0260009765625,,,3.9006600379943848,,365.0260009765625,,,3.9006600379943848,,382.72601318359375,,,4.028759956359863,,347.68701171875,,,3.8652899265289307,,352.74798583984375,,,3.9086201190948486,,83641104,,,8316140
2014-10-10,,361.56201171875,,,3.807389974594116,,361.56201171875,,,3.807389974594116,,375.0669860839844,,,3.9158899784088135,,352.9630126953125,,,3.774250030517578,,364.68701171875,,,3.898859977722168,,43665700,,,6313690
2014-10-11,,362.29901123046875,,,3.77266001701355,,362.29901123046875,,,3.77266001701355,,367.1910095214844,,,3.8389699459075928,,355.95098876953125,,,3.67792010307312,,361.36199951171875,,,3.795919895172119,,13345200,,,3498570
2014-10-12,,378.54901123046875,,,3.850330114364624,,378.54901123046875,,,3.850330114364624,,379.4330139160156,,,3.8514699935913086,,356.1440124511719,,,3.696039915084839,,362.6059875488281,,,3.7765800952911377,,17552800,,,2712090
2014-10-13,,390.41400146484375,,,3.8617799282073975,,390.41400146484375,,,3.8617799282073975,,397.22601318359375,,,3.895740032196045,,368.8970031738281,,,3.791179895401001,,377.9209899902344,,,3.846440076828003,,35221400,,,4200710
2014-10-14,,400.8699951171875,,,4.0759100914001465,,400.8699951171875,,,4.0759100914001465,,411.697998046875,,,4.229109764099121,,391.3240051269531,,,3.8645200729370117,,391.6919860839844,,,3.8645200729370117,,38491500,,,8247860
2014-10-15,,394.77301025390625,,,4.056419849395752,,394.77301025390625,,,4.056419849395752,,402.22698974609375,,,4.076990127563477,,388.7659912109375,,,3.9927499294281006,,400.9549865722656,,,4.076990127563477,,25267100,,,4837180
2014-10-16,,382.5559997558594,,,3.9908900260925293,,382.5559997558594,,,3.9908900260925293,,398.8070068359375,,,4.096799850463867,,373.07000732421875,,,3.9587600231170654,,394.51800537109375,,,4.057740211486816,,26990000,,,4204880
