Timestamp,n-transactions-per-block
1/17/2009 0:00,1
1/20/2009 0:00,1.00877193
1/23/2009 0:00,1.023809524
1/26/2009 0:00,1.010416667
1/29/2009 0:00,1.008264463
2/1/2009 0:00,1.008849558
2/4/2009 0:00,1
2/7/2009 0:00,1.031007752
2/10/2009 0:00,1
2/13/2009 0:00,1
2/16/2009 0:00,1.008196721
2/19/2009 0:00,1.008064516
2/22/2009 0:00,1.033057851
2/25/2009 0:00,1
2/28/2009 0:00,1.01010101
3/3/2009 0:00,1.019047619
3/6/2009 0:00,1
3/9/2009 0:00,1
3/12/2009 0:00,1.008474576
3/15/2009 0:00,1
3/18/2009 0:00,1.01754386
3/21/2009 0:00,1
3/24/2009 0:00,1
3/27/2009 0:00,1
3/30/2009 0:00,1
4/2/2009 0:00,1
4/5/2009 0:00,1.015384615
4/8/2009 0:00,1
4/11/2009 0:00,1.008333333
4/14/2009 0:00,1
4/17/2009 0:00,1
4/20/2009 0:00,1.016806723
4/23/2009 0:00,1
4/26/2009 0:00,1.017857143
4/29/2009 0:00,1.0078125
5/2/2009 0:00,1.015873016
5/5/2009 0:00,1.007407407
5/8/2009 0:00,1
5/11/2009 0:00,1.008333333
5/14/2009 0:00,1.021582734
5/17/2009 0:00,1
5/20/2009 0:00,1
5/23/2009 0:00,1
5/26/2009 0:00,1
5/29/2009 0:00,1.009433962
6/1/2009 0:00,1.014084507
6/4/2009 0:00,1
6/7/2009 0:00,1
6/10/2009 0:00,1
6/13/2009 0:00,1
6/16/2009 0:00,1
6/19/2009 0:00,1
6/22/2009 0:00,1.013157895
6/25/2009 0:00,1.014705882
6/28/2009 0:00,1.02173913
7/1/2009 0:00,1.013513514
7/4/2009 0:00,1
7/7/2009 0:00,1
7/10/2009 0:00,1
7/13/2009 0:00,1
7/16/2009 0:00,1
7/19/2009 0:00,1
7/22/2009 0:00,1
7/25/2009 0:00,1
7/28/2009 0:00,1
7/31/2009 0:00,1
8/3/2009 0:00,1
8/6/2009 0:00,1
8/9/2009 0:00,1
8/12/2009 0:00,1
8/15/2009 0:00,1
8/18/2009 0:00,1
8/21/2009 0:00,1
8/24/2009 0:00,1
8/27/2009 0:00,1
8/30/2009 0:00,1.010309278
9/2/2009 0:00,1
9/5/2009 0:00,1
9/8/2009 0:00,1
9/11/2009 0:00,1
9/14/2009 0:00,1
9/17/2009 0:00,1.011904762
9/20/2009 0:00,1
9/23/2009 0:00,1
9/26/2009 0:00,1
9/29/2009 0:00,1.022727273
10/2/2009 0:00,1.013888889
10/5/2009 0:00,1
10/8/2009 0:00,1
10/11/2009 0:00,1
10/14/2009 0:00,1
10/17/2009 0:00,1
10/20/2009 0:00,1.010526316
10/23/2009 0:00,1
10/26/2009 0:00,1
10/29/2009 0:00,1.044444444
11/1/2009 0:00,1
11/4/2009 0:00,1.015873016
11/7/2009 0:00,1
11/10/2009 0:00,1
11/13/2009 0:00,1.0375
11/16/2009 0:00,1
11/19/2009 0:00,1.028571429
11/22/2009 0:00,1
11/25/2009 0:00,1
11/28/2009 0:00,1
12/1/2009 0:00,1.01369863
12/4/2009 0:00,1
12/7/2009 0:00,1
12/10/2009 0:00,1
12/13/2009 0:00,1
12/16/2009 0:00,1.007352941
12/19/2009 0:00,1.005050505
12/22/2009 0:00,1
12/25/2009 0:00,1.006711409
12/28/2009 0:00,1
12/31/2009 0:00,1
1/3/2010 0:00,1
1/6/2010 0:00,1
1/9/2010 0:00,1
1/12/2010 0:00,1.012578616
1/15/2010 0:00,1.007092199
1/18/2010 0:00,1.008
1/21/2010 0:00,1.051428571
1/24/2010 0:00,1.006493506
1/27/2010 0:00,1.012195122
1/30/2010 0:00,1.019047619
2/2/2010 0:00,1.006896552
2/5/2010 0:00,1.01793722
2/8/2010 0:00,1.04
2/11/2010 0:00,1.029585799
2/14/2010 0:00,1.052884615
2/17/2010 0:00,1.046025105
2/20/2010 0:00,1.009615385
2/23/2010 0:00,1.004
2/26/2010 0:00,1.023255814
3/1/2010 0:00,1.020512821
3/4/2010 0:00,1.016216216
3/7/2010 0:00,1.022346369
3/10/2010 0:00,1.043209877
3/13/2010 0:00,1.006535948
3/16/2010 0:00,1.023809524
3/19/2010 0:00,1.058823529
3/22/2010 0:00,1.039106145
3/25/2010 0:00,1.080213904
3/28/2010 0:00,1.032258065
3/31/2010 0:00,1.023923445
4/3/2010 0:00,1.031055901
4/6/2010 0:00,1.094339623
4/9/2010 0:00,1.185185185
4/12/2010 0:00,1.216748768
4/15/2010 0:00,1.342592593
4/18/2010 0:00,13.67755102
4/21/2010 0:00,1.146118721
4/24/2010 0:00,1.202380952
