Timestamp,hash-rate
3/24/2010 0:00,3.76756E-05
3/27/2010 0:00,4.24113E-05
3/30/2010 0:00,4.27935E-05
4/2/2010 0:00,4.61957E-05
4/5/2010 0:00,4.86872E-05
4/8/2010 0:00,5.06921E-05
4/11/2010 0:00,5.54027E-05
4/14/2010 0:00,6.63305E-05
4/17/2010 0:00,7.56771E-05
4/20/2010 0:00,8.13544E-05
4/23/2010 0:00,8.77125E-05
4/26/2010 0:00,8.8056E-05
4/29/2010 0:00,9.42768E-05
5/2/2010 0:00,9.43582E-05
5/5/2010 0:00,9.16474E-05
5/8/2010 0:00,9.10532E-05
5/11/2010 0:00,8.98793E-05
5/14/2010 0:00,8.43132E-05
5/17/2010 0:00,7.52796E-05
5/20/2010 0:00,8.44957E-05
5/23/2010 0:00,9.91217E-05
5/26/2010 0:00,0.00011405
5/29/2010 0:00,0.000120973
6/1/2010 0:00,0.00012976
6/4/2010 0:00,0.000127356
6/7/2010 0:00,0.000117784
6/10/2010 0:00,0.000124629
6/13/2010 0:00,0.000130446
6/16/2010 0:00,0.000138394
6/19/2010 0:00,0.000133803
6/22/2010 0:00,0.00013911
6/25/2010 0:00,0.000144811
6/28/2010 0:00,0.000151005
7/1/2010 0:00,0.000160402
7/4/2010 0:00,0.000172253
7/7/2010 0:00,0.000183617
7/10/2010 0:00,0.000189097
7/13/2010 0:00,0.000259352
7/16/2010 0:00,0.000805162
7/19/2010 0:00,0.001949189
7/22/2010 0:00,0.002140111
7/25/2010 0:00,0.001661809
7/28/2010 0:00,0.001904713
7/31/2010 0:00,0.002053183
8/3/2010 0:00,0.002355142
8/6/2010 0:00,0.002681185
8/9/2010 0:00,0.002892422
8/12/2010 0:00,0.003194117
8/15/2010 0:00,0.003753793
8/18/2010 0:00,0.004180413
8/21/2010 0:00,0.004148963
8/24/2010 0:00,0.004255816
8/27/2010 0:00,0.00511352
8/30/2010 0:00,0.005394517
9/2/2010 0:00,0.00524931
9/5/2010 0:00,0.005082152
9/8/2010 0:00,0.005082152
9/11/2010 0:00,0.00532586
9/14/2010 0:00,0.005644937
9/17/2010 0:00,0.006343348
9/20/2010 0:00,0.007393177
9/23/2010 0:00,0.008280541
9/26/2010 0:00,0.009327179
9/29/2010 0:00,0.00967263
10/2/2010 0:00,0.009998576
10/5/2010 0:00,0.00944261
10/8/2010 0:00,0.009252118
10/11/2010 0:00,0.01013238
10/14/2010 0:00,0.010879756
10/17/2010 0:00,0.012403624
10/20/2010 0:00,0.01537384
10/23/2010 0:00,0.018211427
10/26/2010 0:00,0.019303431
10/29/2010 0:00,0.021289385
11/1/2010 0:00,0.024659643
11/4/2010 0:00,0.02675562
11/7/2010 0:00,0.029662377
11/10/2010 0:00,0.036757201
11/13/2010 0:00,0.042542167
11/16/2010 0:00,0.048773157
11/19/2010 0:00,0.049707385
11/22/2010 0:00,0.049762774
11/25/2010 0:00,0.052604858
11/28/2010 0:00,0.056664994
12/1/2010 0:00,0.065737403
12/4/2010 0:00,0.071644549
12/7/2010 0:00,0.084272178
12/10/2010 0:00,0.091959362
12/13/2010 0:00,0.097883712
12/16/2010 0:00,0.100478861
12/19/2010 0:00,0.1031035
12/22/2010 0:00,0.107540866
12/25/2010 0:00,0.107120327
12/28/2010 0:00,0.11187337
12/31/2010 0:00,0.115304717
1/3/2011 0:00,0.121784822
1/6/2011 0:00,0.122957519
1/9/2011 0:00,0.127256994
1/12/2011 0:00,0.129008567
1/15/2011 0:00,0.138852129
1/18/2011 0:00,0.14749893
1/21/2011 0:00,0.153572428
1/24/2011 0:00,0.155288109
1/27/2011 0:00,0.158561467
1/30/2011 0:00,0.165724417
2/2/2011 0:00,0.176537508
2/5/2011 0:00,0.178830311
2/8/2011 0:00,0.194462331
2/11/2011 0:00,0.218300392
2/14/2011 0:00,0.240641429
2/17/2011 0:00,0.259026193
2/20/2011 0:00,0.2995967
2/23/2011 0:00,0.340179951
2/26/2011 0:00,0.373101828
3/1/2011 0:00,0.468593145
3/4/2011 0:00,0.485654302
3/7/2011 0:00,0.545962946
3/10/2011 0:00,0.616452336
3/13/2011 0:00,0.572600038
3/16/2011 0:00,0.477232012
3/19/2011 0:00,0.47885525
3/22/2011 0:00,0.48751252
3/25/2011 0:00,0.515648648
3/28/2011 0:00,0.546035958
3/31/2011 0:00,0.545608865
4/3/2011 0:00,0.583893413
4/6/2011 0:00,0.622591047
4/9/2011 0:00,0.6287466
4/12/2011 0:00,0.647467219
4/15/2011 0:00,0.683017062
4/18/2011 0:00,0.681262737
4/21/2011 0:00,0.665219539
4/24/2011 0:00,0.726447335
4/27/2011 0:00,0.781061823
4/30/2011 0:00,0.826312256
5/3/2011 0:00,0.923277446
5/6/2011 0:00,1.051478516
5/9/2011 0:00,1.108259213
5/12/2011 0:00,1.290101968
5/15/2011 0:00,1.47224997
5/18/2011 0:00,1.690245744
5/21/2011 0:00,2.091624538
5/24/2011 0:00,2.598869618
5/27/2011 0:00,3.246951883
5/30/2011 0:00,3.67349154
6/2/2011 0:00,3.661153944
6/5/2011 0:00,3.900478729
6/8/2011 0:00,4.760742534
6/11/2011 0:00,5.499008107
6/14/2011 0:00,6.062811079
6/17/2011 0:00,7.705129377
6/20/2011 0:00,8.64415678
6/23/2011 0:00,9.559463434
6/26/2011 0:00,11.2404864
6/29/2011 0:00,11.57694699
7/2/2011 0:00,11.33199196
7/5/2011 0:00,11.65520349
7/8/2011 0:00,11.1667403
7/11/2011 0:00,11.1064882
7/14/2011 0:00,11.77687918
7/17/2011 0:00,12.14317231
7/20/2011 0:00,12.68706211
7/23/2011 0:00,12.4548236
7/26/2011 0:00,12.85557165
7/29/2011 0:00,13.6529151
8/1/2011 0:00,13.8570484
8/4/2011 0:00,14.23280924
8/7/2011 0:00,13.76724248
8/10/2011 0:00,12.67543301
8/13/2011 0:00,12.78273827
8/16/2011 0:00,12.94369615
8/19/2011 0:00,12.61339921
8/22/2011 0:00,12.85892259
8/25/2011 0:00,13.59251257
8/28/2011 0:00,13.27193444
8/31/2011 0:00,12.02809131
9/3/2011 0:00,12.28705573
9/6/2011 0:00,12.870168
9/9/2011 0:00,12.70055582
9/12/2011 0:00,12.58693256
9/15/2011 0:00,12.14618973
9/18/2011 0:00,11.94430825
9/21/2011 0:00,12.17937495
9/24/2011 0:00,12.25417152
9/27/2011 0:00,12.14197667
9/30/2011 0:00,11.65523754
10/3/2011 0:00,11.34753303
10/6/2011 0:00,11.04900922
10/9/2011 0:00,11.01301896
10/12/2011 0:00,10.48516184
10/15/2011 0:00,9.825340443
10/18/2011 0:00,9.317272701
10/21/2011 0:00,9.300634481
10/24/2011 0:00,8.466189305
10/27/2011 0:00,8.361925889
10/30/2011 0:00,8.372352231
11/2/2011 0:00,8.327252293
11/5/2011 0:00,8.526276317
11/8/2011 0:00,8.512159883
11/11/2011 0:00,8.725818515
11/14/2011 0:00,8.40960374
11/17/2011 0:00,8.445602465
11/20/2011 0:00,8.439707498
11/23/2011 0:00,7.926500581
11/26/2011 0:00,7.621635174
11/29/2011 0:00,7.392986119
12/2/2011 0:00,7.932839135
12/5/2011 0:00,8.230114335
12/8/2011 0:00,8.481521249
12/11/2011 0:00,8.249150804
12/14/2011 0:00,7.936283384
12/17/2011 0:00,7.642399829
12/20/2011 0:00,7.907177914
12/23/2011 0:00,8.169656849
12/26/2011 0:00,8.505957985
12/29/2011 0:00,8.844789594
1/1/2012 0:00,8.917107933
1/4/2012 0:00,8.5831636
1/7/2012 0:00,9.019735261
1/10/2012 0:00,9.461307725
1/13/2012 0:00,9.768831316
1/16/2012 0:00,9.388501174
1/19/2012 0:00,9.379618959
1/22/2012 0:00,9.406265603
1/25/2012 0:00,9.333958282
1/28/2012 0:00,9.576555798
1/31/2012 0:00,9.686121882
2/3/2012 0:00,10.02044632
2/6/2012 0:00,10.20152598
2/9/2012 0:00,10.08324074
2/12/2012 0:00,9.679950635
2/15/2012 0:00,9.836710969
2/18/2012 0:00,9.73873576
2/21/2012 0:00,10.054856
2/24/2012 0:00,10.49478066
2/27/2012 0:00,10.38951247
3/1/2012 0:00,11.00525968
3/4/2012 0:00,10.51750728
3/7/2012 0:00,10.3801804
3/10/2012 0:00,10.63074423
3/13/2012 0:00,11.63003418
3/16/2012 0:00,11.26858888
3/19/2012 0:00,11.2623591
3/22/2012 0:00,11.36240874
3/25/2012 0:00,11.51257533
3/28/2012 0:00,11.56577577
3/31/2012 0:00,11.82900504
4/3/2012 0:00,11.68712483
4/6/2012 0:00,11.29679587
4/9/2012 0:00,10.58063907
4/12/2012 0:00,11.05422663
4/15/2012 0:00,11.23043513
4/18/2012 0:00,10.54058835
4/21/2012 0:00,10.73486966
4/24/2012 0:00,11.4184052
4/27/2012 0:00,11.3623777
4/30/2012 0:00,11.17024035
5/3/2012 0:00,11.96521692
5/6/2012 0:00,12.2666139
5/9/2012 0:00,12.42731189
5/12/2012 0:00,12.64342618
5/15/2012 0:00,12.36856567
5/18/2012 0:00,11.02825124
5/21/2012 0:00,11.52058389
5/24/2012 0:00,11.32365083
5/27/2012 0:00,10.79952112
5/30/2012 0:00,10.93591683
6/2/2012 0:00,11.18597681
6/5/2012 0:00,11.50234788
6/8/2012 0:00,11.8300179
6/11/2012 0:00,12.0370979
6/14/2012 0:00,12.01152492
6/17/2012 0:00,12.26598795
6/20/2012 0:00,12.6932176
6/23/2012 0:00,12.33499121
6/26/2012 0:00,12.51723202
6/29/2012 0:00,12.76386298
7/2/2012 0:00,12.4818564
7/5/2012 0:00,12.53448055
7/8/2012 0:00,13.14301117
7/11/2012 0:00,13.54486955
7/14/2012 0:00,13.54486955
7/17/2012 0:00,13.01003999
7/20/2012 0:00,13.79249216
7/23/2012 0:00,13.75625939
7/26/2012 0:00,13.73126462
7/29/2012 0:00,14.8446104
8/1/2012 0:00,15.40145105
8/4/2012 0:00,15.5432419
8/7/2012 0:00,14.99849676
8/10/2012 0:00,15.7216644
8/13/2012 0:00,16.23937818
8/16/2012 0:00,17.16315851
8/19/2012 0:00,17.12975721
8/22/2012 0:00,17.7987668
8/25/2012 0:00,17.82988352
8/28/2012 0:00,18.03195132
8/31/2012 0:00,18.54599769
9/3/2012 0:00,18.75337889
9/6/2012 0:00,19.15201818
9/9/2012 0:00,20.63748681
9/12/2012 0:00,21.35228908
9/15/2012 0:00,19.95435567
9/18/2012 0:00,20.56656984
9/21/2012 0:00,20.99284413
9/24/2012 0:00,22.13229006
9/27/2012 0:00,21.94642792
9/30/2012 0:00,21.80405073
10/3/2012 0:00,21.43793793
10/6/2012 0:00,21.13559157
10/9/2012 0:00,21.26974888
10/12/2012 0:00,21.97433723
10/15/2012 0:00,22.40818397
10/18/2012 0:00,22.20897793
10/21/2012 0:00,22.63454363
10/24/2012 0:00,22.99616322
10/27/2012 0:00,22.99616322
10/30/2012 0:00,23.93433686
