Timestamp,avg-block-size
1/17/2009 0:00,0.000215853
1/20/2009 0:00,0.000224728
1/23/2009 0:00,0.000229238
1/26/2009 0:00,0.000239948
1/29/2009 0:00,0.000227256
2/1/2009 0:00,0.000218204
2/4/2009 0:00,0.000215739
2/7/2009 0:00,0.00024031
2/10/2009 0:00,0.000215667
2/13/2009 0:00,0.000215903
2/16/2009 0:00,0.000244172
2/19/2009 0:00,0.000231048
2/22/2009 0:00,0.000228545
2/25/2009 0:00,0.000215867
2/28/2009 0:00,0.000224525
3/3/2009 0:00,0.000225429
3/6/2009 0:00,0.000215923
3/9/2009 0:00,0.000215713
3/12/2009 0:00,0.000219534
3/15/2009 0:00,0.000215967
3/18/2009 0:00,0.000230711
3/21/2009 0:00,0.000215863
3/24/2009 0:00,0.000215981
3/27/2009 0:00,0.000215953
3/30/2009 0:00,0.00021585
4/2/2009 0:00,0.000215887
4/5/2009 0:00,0.000231554
4/8/2009 0:00,0.000216
4/11/2009 0:00,0.000223333
4/14/2009 0:00,0.000215952
4/17/2009 0:00,0.000215857
4/20/2009 0:00,0.000327034
4/23/2009 0:00,0.00021568
4/26/2009 0:00,0.000232054
4/29/2009 0:00,0.000234094
5/2/2009 0:00,0.000231373
5/5/2009 0:00,0.000224667
5/8/2009 0:00,0.000215935
5/11/2009 0:00,0.000218858
5/14/2009 0:00,0.000221086
5/17/2009 0:00,0.000215961
5/20/2009 0:00,0.000215733
5/23/2009 0:00,0.000215935
5/26/2009 0:00,0.000215904
5/29/2009 0:00,0.00028084
6/1/2009 0:00,0.000219831
6/4/2009 0:00,0.000215938
6/7/2009 0:00,0.000215938
6/10/2009 0:00,0.000215927
6/13/2009 0:00,0.000215449
6/16/2009 0:00,0.000215732
6/19/2009 0:00,0.000215678
6/22/2009 0:00,0.000306382
6/25/2009 0:00,0.00024975
6/28/2009 0:00,0.000220739
7/1/2009 0:00,0.000219432
7/4/2009 0:00,0.000215876
7/7/2009 0:00,0.000215942
7/10/2009 0:00,0.000215864
7/13/2009 0:00,0.00021591
7/16/2009 0:00,0.000215859
7/19/2009 0:00,0.000215812
7/22/2009 0:00,0.000215393
7/25/2009 0:00,0.000215848
7/28/2009 0:00,0.000215707
7/31/2009 0:00,0.000215706
